TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950505.0,86.0,585.0,1.0,EPS,0.0326,19950505.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950509.0,39.0,678.0,1.0,EPS,0.0375,19950509.0,19950721.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950516.0,68.0,18367.0,1.0,EPS,0.0357,19950515.0,19951010.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950517.0,933.0,9514.0,1.0,EPS,0.0379,19950517.0,19950713.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950518.0,94.0,965.0,1.0,EPS,0.0353,19950518.0,19950731.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950523.0,308.0,677.0,1.0,EPS,0.0366,19950523.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950523.0,241.0,3810.0,1.0,EPS,0.0357,19950523.0,19950725.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950524.0,7.0,7932.0,1.0,EPS,0.0387,19950524.0,19950524.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950525.0,407.0,167.0,1.0,EPS,0.0357,19950523.0,19950525.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950525.0,142.0,54.0,1.0,EPS,0.0353,19950524.0,19950719.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950525.0,7.0,7932.0,1.0,EPS,0.0364,19950525.0,19950620.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950605.0,29.0,9077.0,1.0,EPS,0.0371,19950605.0,19950719.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950612.0,215.0,685.0,1.0,EPS,0.0424,19950612.0,19950712.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950620.0,210.0,71682.0,1.0,EPS,0.0379,19950620.0,19950731.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950621.0,7.0,6867.0,1.0,EPS,0.0387,19950621.0,19950623.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950626.0,7.0,6867.0,1.0,EPS,0.0364,19950626.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950627.0,11.0,938.0,1.0,EPS,0.0357,19950627.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950712.0,232.0,740.0,1.0,EPS,0.0362,19950711.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950713.0,100.0,9486.0,1.0,EPS,0.0375,19950713.0,19950721.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950714.0,215.0,685.0,1.0,EPS,0.0375,19950714.0,19950721.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950720.0,29.0,9077.0,1.0,EPS,0.0385,19950720.0,19950721.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950721.0,118.0,9742.0,1.0,EPS,0.0357,19950721.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950721.0,125.0,8487.0,1.0,EPS,0.0365,19950721.0,19950915.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950721.0,86.0,9900.0,1.0,EPS,0.0335,19950721.0,19950915.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950721.0,308.0,677.0,1.0,EPS,0.0353,19950721.0,19950919.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950724.0,183.0,4684.0,1.0,EPS,0.0377,19950724.0,19950901.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950724.0,232.0,740.0,1.0,EPS,0.0353,19950724.0,19950913.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950724.0,100.0,9486.0,1.0,EPS,0.0369,19950724.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950724.0,215.0,685.0,1.0,EPS,0.0339,19950724.0,19950915.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950724.0,7.0,6867.0,1.0,EPS,0.0343,19950724.0,19950915.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950724.0,37.0,9236.0,1.0,EPS,0.0339,19950724.0,19950918.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950724.0,28.0,1997.0,1.0,EPS,0.0344,19950724.0,19951004.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950725.0,863.0,30168.0,1.0,EPS,0.0346,19950725.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950726.0,29.0,9077.0,1.0,EPS,0.0362,19950726.0,19950907.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950726.0,39.0,678.0,1.0,EPS,0.0357,19950726.0,19951003.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950727.0,241.0,3810.0,1.0,EPS,0.0348,19950725.0,19950830.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950727.0,811.0,4363.0,1.0,EPS,0.0339,19950727.0,19950913.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950727.0,142.0,54.0,1.0,EPS,0.0366,19950727.0,19950918.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950731.0,873.0,71723.0,1.0,EPS,0.0347,19950731.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950801.0,229.0,31901.0,1.0,EPS,0.0366,19950731.0,19951010.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950803.0,11.0,938.0,1.0,EPS,0.0353,19950802.0,19950913.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950808.0,189.0,5668.0,1.0,EPS,0.033,19950803.0,19950918.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950810.0,210.0,71682.0,1.0,EPS,0.0357,19950810.0,19950907.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950816.0,933.0,9514.0,1.0,EPS,0.0351,19950816.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950821.0,191.0,9834.0,1.0,EPS,0.0366,19950821.0,19950918.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950823.0,192.0,1830.0,1.0,EPS,0.0371,19950821.0,19950918.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950823.0,94.0,965.0,1.0,EPS,0.0362,19950823.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950824.0,211.0,4299.0,1.0,EPS,0.0349,19950824.0,19950830.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950824.0,407.0,167.0,1.0,EPS,0.0348,19950824.0,19950907.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950830.0,54.0,689.0,1.0,EPS,0.0366,19950829.0,19950918.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950831.0,241.0,3810.0,1.0,EPS,0.0369,19950830.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950831.0,211.0,4299.0,1.0,EPS,0.0346,19950831.0,19950915.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950906.0,183.0,4684.0,1.0,EPS,0.037,19950905.0,19950915.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950912.0,114.0,494.0,1.0,EPS,0.0352,19950911.0,19950912.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950914.0,232.0,740.0,1.0,EPS,0.033,19950914.0,19950914.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950915.0,100.0,9486.0,1.0,EPS,0.032,19950915.0,19960507.0,19950930,19951018.0,0.0301
